"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "CSS", "Handlebars", "JSON with Comments", "comment", "blank", "total"
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\landing\landing.handlebars", "Handlebars", 0, 0, 0, 0, 0, 20, 0, 0, 9, 29
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\landing\userLogin.handlebars", "Handlebars", 0, 0, 0, 0, 0, 31, 0, 0, 8, 39
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\landing\userRegister.handlebars", "Handlebars", 0, 0, 0, 0, 0, 37, 0, 43, 11, 91
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\layouts\main.handlebars", "Handlebars", 0, 0, 0, 0, 0, 107, 0, 0, 20, 127
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\offers\createOffer.handlebars", "Handlebars", 0, 0, 0, 0, 0, 176, 0, 0, 39, 215
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\offers\editOffer.handlebars", "Handlebars", 0, 0, 0, 0, 0, 216, 0, 0, 61, 277
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\offers\myOffers.handlebars", "Handlebars", 0, 0, 0, 0, 0, 45, 0, 0, 14, 59
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\offers\myPosts.handlebars", "Handlebars", 0, 0, 0, 0, 0, 35, 0, 0, 13, 48
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\offers\offerDetail.handlebars", "Handlebars", 0, 0, 0, 0, 0, 199, 0, 1, 64, 264
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\offers\offerList.handlebars", "Handlebars", 0, 0, 0, 0, 0, 300, 0, 3, 72, 375
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\offers\othersPosts.handlebars", "Handlebars", 0, 0, 0, 0, 0, 197, 0, 0, 75, 272
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\offers\postDetail.handlebars", "Handlebars", 0, 0, 0, 0, 0, 175, 0, 1, 61, 237
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\partials\reviewRegister-scripts.handlebars", "Handlebars", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\partials\userLogin-scripts.handlebars", "Handlebars", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\partials\userRegister-scripts.handlebars", "Handlebars", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\partials\userUpdate-scripts.handlebars", "Handlebars", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\delete.handlebars", "Handlebars", 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\details.handlebars", "Handlebars", 0, 0, 0, 0, 0, 53, 0, 4, 2, 59
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\error.handlebars", "Handlebars", 0, 0, 0, 0, 0, 15, 0, 0, 0, 15
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\list.handlebars", "Handlebars", 0, 0, 0, 0, 0, 34, 0, 2, 5, 41
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\list2.handlebars", "Handlebars", 0, 0, 0, 0, 0, 47, 0, 2, 17, 66
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\registration-v2.handlebars", "Handlebars", 0, 0, 0, 0, 0, 201, 0, 0, 35, 236
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\registration.handlebars", "Handlebars", 0, 0, 0, 0, 0, 50, 0, 0, 14, 64
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\update.handlebars", "Handlebars", 0, 0, 0, 0, 0, 221, 0, 0, 61, 282
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\upload.handlebars", "Handlebars", 0, 0, 0, 0, 0, 224, 0, 0, 61, 285
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\reviews\reviewRegister.handlebars", "Handlebars", 0, 0, 0, 0, 0, 34, 0, 0, 9, 43
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\user\logout.handlebars", "Handlebars", 0, 0, 0, 0, 0, 6, 0, 1, 5, 12
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\user\userProfile.handlebars", "Handlebars", 0, 0, 0, 0, 0, 66, 0, 0, 13, 79
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\user\userUpdate.handlebars", "Handlebars", 0, 0, 0, 0, 0, 23, 0, 0, 8, 31
"Total", "-", 6, 37, 3984, 2007, 11974, 2689, 6, 1103, 4689, 26495
